Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,014015,1941,01,508.4,Y
IDCJAC0001,014015,1941,02,371.9,Y
IDCJAC0001,014015,1941,03,304.3,Y
IDCJAC0001,014015,1941,04,27.1,Y
IDCJAC0001,014015,1941,05,8.9,Y
IDCJAC0001,014015,1941,06,8.1,Y
IDCJAC0001,014015,1941,07,0.0,Y
IDCJAC0001,014015,1941,08,0.0,Y
IDCJAC0001,014015,1941,09,0.0,Y
IDCJAC0001,014015,1941,10,0.3,Y
IDCJAC0001,014015,1941,11,250.1,Y
IDCJAC0001,014015,1941,12,68.6,Y
IDCJAC0001,014015,1942,01,550.9,Y
IDCJAC0001,014015,1942,02,361.4,Y
IDCJAC0001,014015,1942,03,143.2,Y
IDCJAC0001,014015,1942,04,48.4,Y
IDCJAC0001,014015,1942,05,4.6,Y
IDCJAC0001,014015,1942,06,0.0,Y
IDCJAC0001,014015,1942,07,0.0,Y
IDCJAC0001,014015,1942,08,0.0,Y
IDCJAC0001,014015,1942,09,108.1,Y
IDCJAC0001,014015,1942,10,24.7,Y
IDCJAC0001,014015,1942,11,202.1,Y
IDCJAC0001,014015,1942,12,243.4,Y
IDCJAC0001,014015,1943,01,241.9,Y
IDCJAC0001,014015,1943,02,467.4,Y
IDCJAC0001,014015,1943,03,250.6,Y
IDCJAC0001,014015,1943,04,196.8,Y
IDCJAC0001,014015,1943,05,0.0,Y
IDCJAC0001,014015,1943,06,0.0,Y
IDCJAC0001,014015,1943,07,0.0,Y
IDCJAC0001,014015,1943,08,0.0,Y
IDCJAC0001,014015,1943,09,12.2,Y
IDCJAC0001,014015,1943,10,78.3,Y
IDCJAC0001,014015,1943,11,191.6,Y
IDCJAC0001,014015,1943,12,127.2,Y
IDCJAC0001,014015,1944,01,333.8,Y
IDCJAC0001,014015,1944,02,192.1,Y
IDCJAC0001,014015,1944,03,334.9,Y
IDCJAC0001,014015,1944,04,79.7,Y
IDCJAC0001,014015,1944,05,0.0,Y
IDCJAC0001,014015,1944,06,0.0,Y
IDCJAC0001,014015,1944,07,0.0,Y
IDCJAC0001,014015,1944,08,0.0,Y
IDCJAC0001,014015,1944,09,5.3,Y
